Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Validate if user can invite members,Chrome 71.0.3578.98,,2019-02-06 13:57:22,2019-02-06 13:57:47,24.385s,PASSED
,,,,,,
Test Cases/TEMPLATES/LOGIN/LOGIN_TEMPLATE,Chrome 71.0.3578.98,,2019-02-06 13:57:23,2019-02-06 13:57:44,21.314s,PASSED
"openBrowser(""https://app.stratapp.ai/"")",Chrome 71.0.3578.98,,2019-02-06 13:57:23,2019-02-06 13:57:37,13.505s,PASSED
maximizeWindow(),Chrome 71.0.3578.98,,2019-02-06 13:57:37,2019-02-06 13:57:38,1.128s,PASSED
"waitForElementPresent(findTestObject(""LOGIN/EMAIL_ADD_TEXTFIELD""), 60)",Chrome 71.0.3578.98,,2019-02-06 13:57:38,2019-02-06 13:57:38,0.066s,PASSED
"setText(findTestObject(""LOGIN/EMAIL_ADD_TEXTFIELD""), EMAIL)",Chrome 71.0.3578.98,,2019-02-06 13:57:38,2019-02-06 13:57:38,0.180s,PASSED
"click(findTestObject(""LOGIN/NEXT_BUTTON""))",Chrome 71.0.3578.98,,2019-02-06 13:57:38,2019-02-06 13:57:38,0.085s,PASSED
"isGoogle = verifyElementPresent(findTestObject(""LOGIN/GOOGLE_LABEL""), 60)",Chrome 71.0.3578.98,,2019-02-06 13:57:38,2019-02-06 13:57:39,0.882s,PASSED
if (isGoogle),Chrome 71.0.3578.98,,2019-02-06 13:57:39,2019-02-06 13:57:44,5.018s,PASSED
"waitForElementPresent(findTestObject(""HOME/HEADLINES_TAB""), 60)",Chrome 71.0.3578.98,,2019-02-06 13:57:44,2019-02-06 13:57:44,0.028s,PASSED
stratapp.Login.GetUserName(),Chrome 71.0.3578.98,,2019-02-06 13:57:44,2019-02-06 13:57:44,0.090s,PASSED
,,,,,,
Test Cases/TEMPLATES/LOGIN/LOGOUT_TEMPLATE,Chrome 71.0.3578.98,,2019-02-06 13:57:44,2019-02-06 13:57:47,2.799s,PASSED
"waitForElementClickable(findTestObject(""MENU/PROFILE_BUTTON""), 0)",Chrome 71.0.3578.98,,2019-02-06 13:57:44,2019-02-06 13:57:45,0.389s,PASSED
"mouseOver(findTestObject(""MENU/PROFILE_BUTTON""))",Chrome 71.0.3578.98,,2019-02-06 13:57:45,2019-02-06 13:57:45,0.098s,PASSED
"click(findTestObject(""MENU/PROFILE_BUTTON""))",Chrome 71.0.3578.98,,2019-02-06 13:57:45,2019-02-06 13:57:45,0.164s,PASSED
"waitForElementVisible(findTestObject(""MENU/LOGOUT_BUTTON""), 60)",Chrome 71.0.3578.98,,2019-02-06 13:57:45,2019-02-06 13:57:45,0.555s,PASSED
"mouseOver(findTestObject(""MENU/LOGOUT_BUTTON""))",Chrome 71.0.3578.98,,2019-02-06 13:57:45,2019-02-06 13:57:45,0.055s,PASSED
"click(findTestObject(""MENU/LOGOUT_BUTTON""))",Chrome 71.0.3578.98,,2019-02-06 13:57:45,2019-02-06 13:57:46,0.087s,PASSED
"waitForElementVisible(findTestObject(""LOGIN/EMAIL_ADD_TEXTFIELD""), 60)",Chrome 71.0.3578.98,,2019-02-06 13:57:46,2019-02-06 13:57:46,0.558s,PASSED
closeBrowser(),Chrome 71.0.3578.98,,2019-02-06 13:57:46,2019-02-06 13:57:47,0.695s,PASSED
